Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Year
Cleveland Browns,1092573,539448,553125,72973,67431,67431,66703,70240,67431,67431,67431,65451,65878,67431,70355,Bye,67431,,77901,63624,67431,2021
Dallas Cowboys,1366866,747368,619498,65566,70240,93267,93262,93476,65878,Bye,66633,93503,93436,73494,93483,69170,61308,77413,93482,93459,69796,2021
Denver Broncos,1243881,686129,557752,74119,58461,75882,76490,59841,76854,67431,75973,93503,76766,Bye,75807,73185,76211,76134,60972,70240,76012,2021
Detroit Lions,1027002,412177,614825,59374,77240,50788,61468,66538,50831,70540,47192,Bye,58716,67431,56355,45691,76211,45211,68638,68043,56735,2021
Green Bay Packers,1187232,623929,563303,35242,77240,69853,78281,64195,62332,78219,63696,73476,78235,66959,77948,Bye,78273,70815,77901,77832,56735,2021
Houston Texans,1114558,601305,513253,68105,67431,68320,68087,68450,57947,60297,66013,60232,Bye,67395,65120,65291,67610,60252,65674,71612,66722,2021
Indianapolis Colts,1081420,562276,519144,63347,63076,67914,64571,70510,57947,56576,59175,59593,60622,69866,66140,65291,Bye,66391,63900,65985,60516,2021
Jacksonville Jaguars,1070491,539716,530775,68105,58461,58012,63198,58282,60784,Bye,67243,63110,60622,60268,60031,70801,67808,60252,67120,65878,60516,2021
Kansas City Chiefs,1192945,659044,533901,72973,70417,72980,69796,73389,51322,69484,72898,73476,62125,73494,Bye,73185,73278,70240,73371,64505,76012,2021
Las Vegas Raiders,1068732,550673,518059,61756,63707,59311,70240,59122,76854,62000,Bye,74512,62125,61712,93483,61607,73278,,60972,65985,62068,2021
Los Angeles Chargers,1153356,632160,521196,52753,70240,72980,70240,70240,70704,Bye,70240,69796,70240,70240,75807,51414,70240,70240,65674,70240,62068,2021
Los Angeles Rams,1187786,572791,614995,70445,63076,73205,70003,68747,73920,70540,66013,71785,64256,Bye,77948,70801,63999,71565,66708,70328,74447,2021
Miami Dolphins,1110828,579366,531462,65878,65040,59311,64571,65570,60784,62739,69355,60232,65948,72303,62389,65898,Bye,66035,69170,69091,66514,2021
Minnesota Vikings,1118294,533613,584681,56525,60115,66729,66703,66538,72104,Bye,66633,70599,70240,66959,71493,45691,66718,60082,66708,77832,66625,2021
New England Patriots,1150306,592902,557404,65878,75626,65878,65878,68450,65878,65878,70240,72203,65878,68286,65878,69694,Bye,66391,65878,65878,66514,2021
New Orleans Saints,1117104,519432,597672,35242,70675,65878,69170,50137,Bye,68563,69170,69170,69414,69796,69170,69170,69129,65744,69170,69170,68336,2021
New York Giants,1207885,591052,616833,74119,50118,75307,69170,93476,73920,71889,72898,74512,Bye,65643,73969,65898,70240,77413,69796,59594,69923,2021
New York Jets,1173183,645092,528091,70211,75626,75882,70232,60589,Bye,65878,67503,59593,77625,72303,65120,73311,69129,66035,67120,72243,64783,2021
Philadelphia Eagles,1177614,558368,619246,68633,69796,93267,69796,72545,69796,62000,47192,69796,76766,69796,73969,73311,Bye,69796,69796,51563,69796,2021
Pittsburgh Steelers,1103916,544397,559519,69787,63707,58076,78281,59841,60821,Bye,67431,60788,58716,70240,63238,59303,66718,59521,73371,63624,70453,2021
San Francisco 49ers,1109442,533364,576078,59374,69796,69853,68912,62716,Bye,56576,60877,59012,64256,60268,71493,68758,50481,71650,69361,71612,74447,2021
Seattle Seahawks,1141021,547264,593757,63347,68585,66729,68912,68747,60821,68563,67243,Bye,78235,68833,52680,68758,67610,71565,68492,68043,63858,2021
Tampa Bay Buccaneers,1067169,457325,609844,65566,63694,73205,65878,65570,69796,65635,69170,Bye,52128,65643,66140,69366,,65744,71918,72243,65473,2021
Tennessee Titans,1137282,617102,520180,67216,68585,67914,70232,58282,69419,69484,59175,71785,69414,67395,65878,Bye,67808,59521,69361,69091,66722,2021
Washington Commanders,1081126,422009,659117,52753,50118,68434,68333,50137,51322,78219,75973,Bye,52128,73350,52680,61607,61308,69796,93482,51563,69923,2021
Arizona Cardinals,1000509,490586,509923,60687,70126,60104,60500,46012,60140,73577,73064,60986,40038,69419,Bye,60944,63880,63345,69022,68665,,2019
Atlanta Falcons,1099463,572811,526652,66714,72443,60295,72108,71787,60140,71856,71483,Bye,73283,73106,71463,71993,70592,70910,70873,50417,,2019
Baltimore Ravens,1091363,565020,526343,65012,70126,73390,70686,64037,70051,69012,Bye,71157,45918,70731,72409,71029,69134,70545,67431,70695,,2019
Buffalo Bills,1123350,550713,572637,78523,74569,69448,70317,66910,Bye,68340,69435,67685,67431,64187,67338,90445,69134,64694,65878,69016,,2019
Carolina Panthers,1122333,577765,544568,72005,71101,60104,71699,72762,60087,Bye,69083,72540,78090,73106,73068,71504,70592,72544,61845,72203,,2019
Chicago Bears,1051152,495332,555820,62435,76885,67327,62131,60463,Bye,62306,61632,69796,61758,70758,61581,65412,61276,78266,62213,66913,,2019
Cincinnati Bengals,907640,377432,530208,68710,50666,69448,57959,46012,70051,42784,83720,Bye,45918,51921,47423,39804,67431,57066,60968,47759,,2019
Cleveland Browns,1075124,539448,535676,67431,78523,67431,70686,70585,67431,Bye,65878,76743,67431,67431,67431,62157,67431,63345,67431,47759,,2019
Dallas Cowboys,1289027,727432,561595,90353,75128,90127,73086,93024,78523,91213,Bye,76107,91188,61801,65878,90445,61276,90436,69796,90646,,2019
Denver Broncos,1104191,607497,496694,52359,76885,78078,76219,25357,75815,76748,61653,76743,Bye,66883,67338,74638,71769,73257,74115,76334,,2019
Detroit Lions,1011888,490737,521151,60687,60158,69796,65188,Bye,76947,60314,58509,53318,61758,61801,57754,65412,66776,56515,74115,62840,,2019
Green Bay Packers,1154661,622762,531899,62435,78416,78078,77509,93024,76947,78160,73558,25435,78090,Bye,71500,75950,77296,78266,67157,62840,,2019
Houston Texans,1075836,574345,501491,73039,71651,25349,71699,71787,73323,59977,71893,84771,Bye,70731,71727,72025,71769,65265,49036,71794,,2019
Indianapolis Colts,965049,488886,476163,25363,62849,60295,62259,73352,Bye,59977,61653,61115,60510,61986,71727,60361,50232,73053,61845,58472,,2019
Jacksonville Jaguars,1014675,504686,509989,60157,71651,58613,76219,72762,64341,42784,57833,84771,Bye,61986,60926,62633,57866,52788,70873,58472,,2019
Kansas City Chiefs,1115771,587723,528048,60157,52748,73390,65188,73352,73323,76748,73558,73615,68864,76252,Bye,73548,65878,73257,62213,73680,,2019
Los Angeles Chargers,760644,254007,506637,25363,60158,25349,64278,25357,25425,62431,61632,25435,51954,76252,Bye,74638,57866,25446,25380,73680,,2019
Los Angeles Rams,1147715,582325,565390,72005,71460,67431,68117,68988,75695,71856,83720,Bye,63627,70758,72409,60944,71501,90436,70103,68665,,2019
Miami Dolphins,1067487,504540,562947,65012,65513,90127,64278,Bye,59808,68340,59244,59229,60510,64187,67431,65545,78523,72894,60968,65878,,2019
Minnesota Vikings,1070025,534794,535231,66714,78416,66738,62131,75041,66837,60314,66776,73615,91188,66883,Bye,69080,66776,25446,67157,66913,,2019
New England Patriots,1087904,527024,560880,65878,65513,65878,70317,76483,65878,78523,65878,71157,Bye,69796,65878,72025,65878,57066,65878,65878,,2019
New Orleans Saints,1117057,584660,532397,73039,71460,69005,73086,73029,64341,62306,73064,Bye,73283,54333,73068,71993,73038,73053,66756,72203,,2019
New York Giants,1143109,597316,545793,90353,74569,55070,74149,75041,65878,73577,58509,76107,78523,Bye,61581,75950,69796,72894,66083,75029,,2019
