Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Year
Miami Dolphins,1073132,524101,549031,69012,66829,65176,60834,64425,65351,65658,Bye,65722,55107,83483,65856,70916,65750,78160,64690,66163,,2016
Minnesota Vikings,1084502,534289,550213,63816,66813,73813,66690,66683,Bye,69596,60422,66807,78216,66808,63793,66860,62701,66820,77856,66808,,2016
New England Patriots,1094772,534632,560140,64864,66829,66829,66829,67431,66829,66009,70442,Bye,66829,70178,78160,66829,66829,76893,66829,66163,,2016
New Orleans Saints,1141039,584876,556163,73028,77727,73003,60641,Bye,73138,76282,73188,70178,73138,73288,73067,73137,62140,65072,73177,70835,,2016
New York Giants,1217320,630315,587005,92867,77727,78368,66690,78401,78487,74121,Bye,80309,76218,78898,60034,65825,80874,79434,69596,79471,,2016
New York Jets,1168377,625280,543097,78160,70256,71587,78160,66385,64709,78160,67431,65722,78160,Bye,78160,78160,70178,78160,66829,78160,,2016
Oakland Raiders,1009172,458561,550611,73028,54081,62370,71152,54275,54211,62614,61068,54957,Bye,76473,54909,54759,75191,68352,54896,76836,,2016
Philadelphia Eagles,1125298,556768,568530,69596,62268,69596,Bye,58047,78934,69596,93103,80309,69596,69190,69596,55456,69596,71223,69596,69596,,2016
Pittsburgh Steelers,1065627,514503,551124,79124,65072,69596,61278,66385,65351,66009,Bye,71286,67737,67431,66583,65825,69657,62096,66276,55921,,2016
San Diego Chargers,998070,456197,541873,73238,52165,64747,60641,54275,58904,69832,76756,52281,55107,Bye,71897,53832,73856,68352,57272,54915,,2016
San Francisco 49ers,1119165,561424,557741,70178,74143,69010,70178,70178,70003,70178,Bye,70178,65127,70178,65856,59782,70178,70164,83656,70178,,2016
Seattle Seahawks,1138809,552588,586221,69012,91046,69010,78160,Bye,69071,65089,73188,69084,66829,69190,63674,69104,78057,69067,69050,70178,,2016
Tampa Bay Buccaneers,1054600,484998,569602,69382,64230,55009,60375,73425,Bye,70178,61068,57797,62898,72277,63674,53832,62140,93101,73177,62037,,2016
Tennessee Titans,1016507,517273,499234,63816,58466,62370,71815,64425,60897,65470,61619,52281,69116,65048,59494,Bye,68780,68084,59621,65205,,2016
Washington Commanders,1206654,626432,580222,79124,80612,78368,76249,71318,78934,60461,84488,Bye,78216,77137,93099,64939,69596,76689,57953,79471,,2016
Arizona Cardinals,1028446,513487,514959,62903,62351,63663,63146,60816,63846,64722,67431,Bye,69005,64745,70799,51115,64784,69596,64878,64646,,2015
Atlanta Falcons,1134671,562845,571826,70516,77678,90345,69904,70178,73018,63329,70524,70799,Bye,70433,70610,58221,74420,64016,70981,69699,,2015
Baltimore Ravens,1083919,568018,515901,76798,53500,70970,63929,71046,70799,64722,70829,Bye,70837,71105,64380,64519,71179,70791,71261,57254,,2015
Buffalo Bills,1140809,559047,581762,70319,70858,64869,70677,65670,69593,84021,Bye,70214,78160,66829,72493,68544,69596,80124,70172,68670,,2015
Carolina Panthers,1157689,592454,565235,60733,73254,73402,57468,Bye,69020,74194,74136,74461,63591,74418,90909,73097,74420,79436,70981,74169,,2015
Chicago Bears,1020065,496287,523778,62442,62351,69002,62409,75799,57648,Bye,62311,68033,58653,62483,78488,62088,61026,52421,63734,61177,,2015
Cincinnati Bengals,1028118,491118,537000,54500,57579,70970,57498,65004,69593,Bye,64750,65816,61381,64745,61022,64775,65564,70799,76868,57254,,2015
Cleveland Browns,1062262,529488,532774,78160,67431,67431,63710,71046,67431,51523,67431,65816,64402,Bye,64380,64775,63916,69002,69115,66693,,2015
Dallas Cowboys,1312509,731672,580837,93579,69296,90345,73009,93054,Bye,80319,91486,91827,64113,65115,90909,80444,78369,90345,70172,90127,,2015
Denver Broncos,1141878,615381,526497,76798,76404,62920,77029,54500,67431,Bye,77075,66894,76973,62483,76970,68631,76824,67234,76868,76844,,2015
Detroit Lions,1025745,490782,534963,66093,52319,62920,69005,60816,57648,60231,83624,Bye,78526,60202,64445,63207,51202,73017,61313,61177,,2015
Green Bay Packers,1147786,627308,520478,62442,78433,78214,70799,78432,78434,Bye,77075,74461,78526,52529,78488,63207,78369,55087,64878,78412,,2015
Houston Texans,1098814,574159,524655,71776,73254,71718,69904,71732,58085,65251,71630,Bye,61381,71718,71778,68544,71908,66083,62153,71899,,2015
Indianapolis Colts,1067476,528381,539095,70319,65220,65920,65609,71732,66726,66420,74136,66894,Bye,70433,65696,58701,62372,66083,65482,65733,,2015
Jacksonville Jaguars,1056511,514268,542243,60733,65443,66829,65609,58490,58085,84021,Bye,78160,70837,60121,59477,57355,62372,64016,73064,71899,,2015
Kansas City Chiefs,1130807,602228,528579,71776,76404,78214,57498,75799,52480,76365,83624,Bye,76973,65837,72493,55010,72314,70791,69115,76114,,2015
Miami Dolphins,1093320,537548,555772,76512,65443,64869,83986,Bye,62342,65251,66829,70214,69596,65115,78160,64519,65408,66676,65482,62918,,2015
Minnesota Vikings,958016,419440,538576,70499,52319,52400,77029,Bye,52480,60231,62311,52406,54700,52529,70610,52430,64784,52421,52455,78412,,2015
New England Patriots,1136287,534632,601655,66829,70858,66829,Bye,93054,66726,66829,66829,66829,81061,66829,76970,66829,71908,66829,78160,62918,,2015
New Orleans Saints,1135027,584305,550722,62903,73006,73402,73009,69296,73018,66420,73019,73075,75086,Bye,71778,73097,62138,73017,73064,69699,,2015
New York Giants,1198163,632011,566152,93579,77678,76081,70677,78515,69296,80319,73019,64351,81061,Bye,77367,80898,65408,79436,52455,78023,,2015
New York Jets,1207646,625280,582366,78160,65220,78160,83986,Bye,78160,66829,54700,78160,78160,71718,78160,80898,78160,90345,78160,68670,,2015
Oakland Raiders,970514,436397,534117,54500,53500,67431,62409,54500,Bye,67542,54700,65520,54700,60202,58075,55010,76824,55087,54400,76114,,2015
Philadelphia Eagles,1154629,555868,598761,70516,69296,78160,74767,69296,69296,74194,Bye,91827,69596,69596,64445,66829,69596,69596,69596,78023,,2015
Pittsburgh Steelers,1050712,514854,535858,66829,66472,52433,63929,67658,63846,76365,64750,65520,64402,Bye,69055,58701,65564,67234,71261,66693,,2015
San Diego Chargers,1056457,534180,522277,66093,57579,52400,63710,67658,78434,67542,70829,68033,Bye,65837,59477,68631,72314,66676,54400,76844,,2015
San Francisco 49ers,1082259,566092,516167,70499,66472,63663,70799,78515,70799,70799,51207,70799,Bye,68993,70799,62088,63916,70799,61313,70799,,2015
Seattle Seahawks,1097931,552162,545769,51792,78433,69002,69005,65004,69020,70799,91486,Bye,69005,68993,69055,52430,71179,69002,69080,64646,,2015
St. Louis Rams,957670,419220,538450,51792,72460,52433,63146,78432,Bye,51523,51207,52406,58653,71105,61022,51115,51202,51295,69080,70799,,2015
Tampa Bay Buccaneers,1041376,492460,548916,63945,73006,71718,57468,58490,Bye,72912,70524,64351,64113,69596,65696,58221,62138,51295,63734,74169,,2015
Tennessee Titans,1045359,498435,546924,63945,67431,65920,Bye,65670,62342,63329,71630,73075,63591,60121,58075,57355,78160,66829,62153,65733,,2015
Washington Redskins,1196087,609672,586415,76512,72460,76081,74767,70178,78160,72912,Bye,66829,75086,74418,77367,80444,61026,80124,69596,90127,,2015
Arizona Cardinals,1053326,495835,557491,61292,78344,61572,Bye,76895,61139,52101,61789,85688,61363,62487,68327,69557,62387,55880,63806,70699,,2014
Atlanta Falcons,1121026,577047,543979,70706,58574,70318,52173,80307,70712,71184,83532,Bye,57751,73314,70046,69557,77512,71161,73164,71015,,2014
Baltimore Ravens,1096129,568353,527776,70925,71181,67407,71218,65258,60041,71184,55711,63971,70914,Bye,73373,71060,70244,70801,71771,71070,,2014
Buffalo Bills,1085974,540180,545794,62425,69954,68611,71756,62775,70185,68477,78160,Bye,68119,71573,56044,68576,76913,70214,53436,68756,,2014
Carolina Panthers,1123313,588861,534452,62442,73586,73945,71218,73659,57053,78106,74042,73663,69596,73314,Bye,52016,73006,72842,73810,71015,,2014
Chicago Bears,1050366,493449,556917,62425,70799,78160,61736,73659,70712,62413,68756,Bye,78292,61792,61109,64175,61558,60996,61420,52364,,2014
Cincinnati Bengals,1025166,485628,539538,70925,58574,56743,Bye,68756,57053,66539,55711,60057,65871,73073,71777,56340,65512,67431,66107,64697,,2014
Cleveland Browns,1083855,539400,544455,64598,67407,67407,Bye,69143,67431,61341,67431,67431,65871,67431,70046,68576,67431,67431,73810,71070,,2014
Dallas Cowboys,1293046,720558,572488,91174,69143,58739,91176,91159,68432,91028,87055,85688,83603,Bye,80520,91379,61558,69596,91899,80897,,2014
Denver Broncos,1156767,615517,541250,76939,76900,68447,Bye,76895,78160,77047,76907,68756,54803,59401,76987,76894,76913,68682,66107,76929,,2014
Detroit Lions,1062760,504198,558562,64401,73586,62418,78160,62775,52213,63271,83532,Bye,63179,62487,68756,64175,61489,62490,61420,78408,,2014
Green Bay Packers,1148560,625114,523446,68424,78041,62418,61736,78054,70875,78106,73146,Bye,78292,78270,52386,78431,77512,70214,64247,78408,,2014
Houston Texans,1115983,574132,541851,71770,54063,77462,71756,91159,71787,56375,69143,71780,Bye,67431,71777,71714,61070,65148,71771,71777,,2014
Indianapolis Colts,1101258,523004,578254,76939,64871,60601,64757,65258,71787,66539,62479,77975,Bye,66751,64328,65352,67431,65148,91899,69143,,2014
Jacksonville Jaguars,1066627,524335,542292,69596,80037,60601,56553,66198,69143,61341,65633,60057,83603,Bye,64328,64687,61070,70801,61202,71777,,2014
Kansas City Chiefs,1127251,599743,527508,73569,76900,70313,76613,70799,Bye,65260,75972,74127,68119,76463,52865,76894,62387,72153,60865,73952,,2014
Miami Dolphins,1128798,560280,568518,70630,69954,70313,83436,Bye,70875,62413,65633,70222,63179,71573,76987,78160,70244,68756,66203,70220,,2014
Minnesota Vikings,940423,417906,522517,55919,52350,73005,52173,78054,52213,68477,56577,52252,Bye,61792,52386,52016,52152,62490,66203,52364,,2014
New England Patriots,1111983,550048,561935,70630,52350,68756,76613,68756,70185,68756,68756,68756,Bye,66751,68756,78431,68815,68756,78160,68756,,2014
New Orleans Saints,1133987,584900,549087,70706,67407,73005,91176,73004,Bye,63271,73146,73663,73129,73073,73373,61916,73006,60996,73164,59952,,2014
New York Giants,1195369,631738,563631,64401,78344,77462,80573,80307,69596,91028,Bye,77975,68352,80352,80520,64687,69143,77628,55851,79150,,2014
New York Jets,1157234,625280,531954,78160,78041,78160,78160,63471,78160,68756,78160,74127,78160,Bye,56044,78160,52152,69143,78160,70220,,2014
Oakland Raiders,1013469,459333,554136,78160,54063,68756,83436,Bye,53329,52101,67431,68337,54803,66720,52865,55650,55300,72153,53436,76929,,2014
Philadelphia Eagles,1153703,556768,596935,69596,64871,69596,70799,69596,69596,Bye,61789,71780,69596,78270,69596,91379,69596,69596,78897,79150,,2014
Pittsburgh Steelers,1060542,497811,562731,64598,71181,73945,62910,66198,67431,56375,62479,63971,78160,69143,Bye,61916,65512,71161,60865,64697,,2014
San Diego Chargers,1069529,523457,546072,61292,67916,68611,56553,63471,53329,65260,76907,70222,Bye,66720,66040,71060,68815,68682,70699,73952,,2014
San Francisco 49ers,1130143,566192,563951,91174,70799,61572,70799,70799,56851,77047,Bye,70799,73129,80352,70799,70799,55300,68526,70699,70699,,2014
Seattle Seahawks,1107297,547298,559999,68424,67916,68447,Bye,79522,68432,57855,74042,68337,68352,76463,68327,70799,69596,68526,63806,68453,,2014
St. Louis Rams,999412,456146,543266,55919,59923,58739,Bye,69596,56851,57855,75972,70799,61363,59401,66040,55650,71120,55880,55851,68453,,2014
Tampa Bay Buccaneers,1023818,477273,546545,62442,59923,70318,62910,73004,60041,Bye,56577,67431,57751,77442,61109,56340,61489,72842,64247,59952,,2014
Tennessee Titans,1096866,553144,543722,73569,69143,56743,64757,69143,69143,75227,69143,Bye,70914,69143,69596,71714,69143,69143,61202,69143,,2014
Washington Redskins,1179306,623715,555591,71770,80037,69596,80573,79522,61139,75227,87055,52252,Bye,77442,70799,65352,71120,77628,78897,80897,,2014
Arizona Cardinals,997710,488271,509439,55279,60034,73057,44956,60426,69732,61200,60671,Bye,60845,59862,60882,69144,60643,69143,68266,63570,,2013
Atlanta Falcons,1080805,561795,519010,72348,70056,70660,70744,70246,Bye,69522,60671,73720,70309,55360,70422,38969,77550,70069,69732,70427,,2013
Baltimore Ravens,1106022,569084,536938,76977,71098,71168,68296,68342,71319,62295,Bye,71513,70992,62367,71148,71005,70921,64742,71433,62406,,2013
Buffalo Bills,1032476,502842,529634,69519,67819,76957,68296,71239,67739,60592,72405,68159,60406,68036,Bye,38969,59194,60085,54305,68756,,2013
Carolina Panthers,1112229,587544,524685,73294,67819,73748,Bye,60426,63963,72686,59073,73720,69732,74225,60156,72795,73089,73251,73825,70427,,2013
Chicago Bears,1057075,498864,558211,62213,62181,61575,64552,62361,62374,83147,Bye,78122,62431,62367,66024,64134,62229,71513,69144,62708,,2013
Cincinnati Bengals,1001806,506377,495429,62213,64585,64633,71481,64259,67739,63207,62576,52388,70992,63856,Bye,61536,62507,45873,61555,62406,,2013
Cleveland Browns,1122750,569939,552811,71513,71098,63672,71481,71239,71513,77804,74307,71513,Bye,63856,71513,69654,68756,71513,76957,56361,,2013
Dallas Cowboys,1279578,704345,575233,85348,76952,80848,68601,92758,90239,69144,64379,85360,73018,Bye,80499,87572,62229,91054,80411,91166,,2013
Denver Broncos,1194145,614977,579168,76977,81285,76978,77002,92758,76862,67196,77031,Bye,68847,77076,68756,77065,76554,76497,71761,51500,,2013
Detroit Lions,1053841,510369,543472,62461,60034,80111,64552,78200,71513,63207,64379,Bye,62431,57905,62098,64934,69144,64742,63996,64134,,2013
Green Bay Packers,1191205,623577,567628,69732,78020,64633,Bye,78200,71319,77804,64134,78122,78011,79114,77871,64934,77550,91054,77999,62708,,2013
Houston Texans,1103683,573271,530412,59522,71718,71168,71756,69732,71104,74118,Bye,71778,60845,71726,71659,71769,60414,65470,71761,69143,,2013
Indianapolis Colts,1054693,527606,527087,65412,65406,69732,59695,66608,57954,67196,Bye,71778,66004,69143,60882,65502,62507,65470,75396,66008,,2013
Jacksonville Jaguars,1028219,503140,525079,59416,49400,68087,59695,54266,76862,59550,83559,Bye,69143,59862,71659,69654,60414,60085,60559,66008,,2013
Kansas City Chiefs,1118007,602877,515130,59416,76952,69144,73386,69143,76394,74118,74307,68159,Bye,77076,75259,77065,56247,49571,75396,66374,,2013
Miami Dolphins,1041545,514553,526992,71513,65406,70660,73118,68342,Bye,60592,68756,52388,64448,60256,60156,76957,52489,71863,54305,70296,,2013
Minnesota Vikings,1099551,531653,567898,62461,62181,63672,83518,Bye,63963,79314,64134,85360,64011,68235,77871,64134,70921,64087,61555,64134,,2013
New England Patriots,1120817,550048,570769,69519,68756,68756,70744,64259,68756,76957,68756,68756,Bye,74225,68756,71769,68756,71863,71433,68756,,2013
New Orleans Saints,1123230,583210,540020,72348,60870,73057,73118,62361,68756,Bye,72405,76957,73018,73025,70422,68387,73089,58442,73825,73150,,2013
New York Giants,1209532,641184,568348,85348,81285,73748,73386,80738,62374,79314,69144,Bye,80366,79114,80499,75220,65132,79691,63996,80177,,2013
New York Jets,1169108,615656,553452,76957,68756,76957,69143,70246,76957,76957,62576,76957,Bye,68036,71148,76957,76957,73251,76957,70296,,2013
Oakland Raiders,1004636,403556,601080,65412,49400,76978,53549,48834,76394,Bye,52950,51751,80366,71726,46001,87572,76957,49571,65675,51500,,2013
Philadelphia Eagles,1141155,553152,588003,82743,69144,69144,77002,80738,62505,69144,69144,51751,78011,69144,Bye,69144,69144,64087,69144,91166,,2013
Pittsburgh Steelers,1025772,458489,567283,61585,64585,61575,83518,Bye,76957,62295,52950,68756,60406,57905,71513,71005,52489,45873,77999,56361,,2013
San Diego Chargers,1052439,513641,538798,59522,69144,69143,68601,48834,57954,59550,Bye,80115,68847,60256,75259,61536,65132,76497,65675,66374,,2013
San Francisco 49ers,1116046,557856,558190,69732,68338,69732,56640,69732,69732,69143,83559,Bye,69732,73025,79773,69732,69732,64142,69732,63570,,2013
Seattle Seahawks,1094133,545577,548556,73294,68338,68087,71756,66608,68127,61200,55966,67873,70309,68235,Bye,68387,69732,79691,68266,68264,,2013
St. Louis Rams,1014994,455657,559337,55279,70056,80848,56640,54266,71104,72686,55966,54617,66004,Bye,66024,69732,60643,58442,54423,68264,,2013
Tampa Bay Buccaneers,1016122,470548,545574,76957,60870,68756,44956,Bye,62505,69522,59073,67873,64448,55360,62098,72795,59194,64142,54423,73150,,2013
Tennessee Titans,1057807,553144,504663,61585,71718,69143,69143,69143,68127,69143,Bye,54617,69143,69143,46001,65502,76554,69143,60559,69143,,2013
Washington Redskins,1200007,617767,582240,82743,78020,80111,53549,Bye,90239,83147,77031,80115,64011,69144,79773,75220,56247,70069,80411,80177,,2013
Arizona Cardinals,1028241,487125,541116,60032,68756,60436,60183,54653,60385,61068,62810,70504,Bye,69630,60062,79088,67685,60483,62734,69732,,2012
Atlanta Falcons,1102398,560773,541625,71180,70427,61297,69594,75337,69383,Bye,69144,70840,73126,69630,54400,70514,73292,70741,63849,69644,,2012
Baltimore Ravens,1109404,570229,539175,71064,69144,71269,70944,68803,71384,71708,Bye,65449,71339,63446,57882,71442,81178,71317,71470,61565,,2012
Buffalo Bills,1033263,495423,537840,79088,69402,69353,70684,69732,60385,68836,Bye,71698,68756,69118,64366,53971,68109,40770,54462,54533,,2012
Carolina Panthers,1108455,586347,522108,51533,72879,73951,69594,72676,Bye,73981,62254,79767,73939,72603,69144,62860,73292,53832,73026,73124,,2012
Chicago Bears,1056462,498633,557829,62341,70543,62224,90080,67012,Bye,62300,62254,69143,62410,69732,62306,62264,64134,62534,62734,64451,,2012
Cincinnati Bengals,1021414,489504,531910,71064,63036,80060,63030,61162,67060,63411,Bye,63623,56614,63336,56503,54980,63590,69144,63236,61565,,2012
Cleveland Browns,1065268,533058,532210,68693,63036,69353,70944,79911,67060,64560,65337,65449,Bye,81936,69661,43641,62422,65083,76351,51831,,2012
Dallas Cowboys,1290328,708249,582079,82287,68008,81984,90080,Bye,71384,73981,94067,70840,69144,81936,90166,81851,63590,95595,92570,82845,,2012
Denver Broncos,1157779,613062,544717,76823,70427,76566,76787,68756,68604,Bye,76832,63623,73939,76769,74244,76432,53807,71317,76351,76502,,2012
Detroit Lions,1038451,510158,528293,62315,69732,69143,63616,Bye,69144,62300,63497,63050,64059,63716,64827,63887,70382,60483,63849,64451,,2012
Green Bay Packers,1106110,564062,542048,70523,70543,68218,70571,67020,71702,64359,70464,70504,Bye,63716,80365,70567,70382,62534,70508,64134,,2012
Houston Texans,1123975,573321,550654,71566,62907,76566,71581,79088,71702,71708,Bye,71698,62410,71676,64827,69143,68756,71702,71688,66957,,2012
Indianapolis Colts,1062645,521518,541127,62341,63912,63536,Bye,67020,79088,64560,69143,66479,63272,68756,64366,63887,64688,71702,62938,66957,,2012
Jacksonville Jaguars,1010570,519872,490698,56607,62907,63536,63030,67012,Bye,51634,70464,63050,63272,71676,63323,53971,67027,53667,70251,69143,,2012
Kansas City Chiefs,1040043,548070,491973,71180,69402,72226,69979,68803,46500,Bye,74730,55831,57644,63336,74244,62860,62422,51446,62938,76502,,2012
Miami Dolphins,1005117,459033,546084,71566,54245,60102,60183,61162,52983,Bye,79088,66479,60165,69118,51295,72114,69732,53667,54462,68756,,2012
Minnesota Vikings,1019702,485802,533900,56607,63912,57288,63616,57652,78476,61068,60860,67584,64059,Bye,62306,70567,64134,55751,71688,64134,,2012
New England Patriots,1134734,550044,584690,69143,68756,71269,70684,68756,68137,68752,84004,Bye,68756,68756,79088,72114,68756,68756,70251,68756,,2012
New Orleans Saints,1163696,583107,580589,72180,72879,72226,70571,73109,Bye,58906,76832,73099,73126,56880,73147,70514,81437,73096,92570,73124,,2012
New York Giants,1229929,643964,585965,82287,76964,73951,69144,79911,69732,81352,94067,80991,56614,Bye,80365,80246,81437,70741,71470,80657,,2012
New York Jets,1142324,632704,509620,79088,64511,60102,79088,79088,79088,68752,79088,Bye,67841,57711,79088,79088,67027,69143,79088,54533,,2012
Oakland Raiders,976231,433732,542499,61896,54245,62373,76787,Bye,69383,51634,74730,52055,71339,56880,56503,43641,53807,51446,73026,66486,,2012
Philadelphia Eagles,1126893,553152,573741,68693,69144,60436,69144,64737,69144,Bye,69144,73099,69144,79327,69144,81851,64941,69144,69144,80657,,2012
Pittsburgh Steelers,1078574,489135,589439,76823,64511,62373,Bye,64737,69143,63411,62371,80991,57644,63446,69661,71442,61359,95595,63236,51831,,2012
San Diego Chargers,1022066,479716,542350,61896,60804,61297,69979,73109,68604,Bye,65337,55831,54813,76769,57882,54980,61359,53832,79088,66486,,2012
San Francisco 49ers,1094908,557856,537052,70523,69732,57288,79088,69732,69732,69732,62810,Bye,69732,69732,73147,57279,69732,68756,68161,69732,,2012
Seattle Seahawks,1017029,543570,473459,60032,68008,68218,53193,72676,68137,69732,63497,67584,67841,Bye,51295,62264,67685,40770,68161,67936,,2012
St. Louis Rams,975825,480929,494896,62315,53979,62224,53193,54653,52983,64359,84004,Bye,69732,57711,60062,57279,68109,55751,51535,67936,,2012
Tampa Bay Buccaneers,1004457,440819,563638,51533,76964,81984,58191,Bye,46500,58906,60860,52055,54813,72603,54400,76432,64941,73096,51535,69644,,2012
Tennessee Titans,1070701,553144,517557,69143,60804,69143,71581,57652,69143,68836,69143,69143,60165,Bye,63323,69143,64688,69143,70508,69143,,2012
Washington Redskins,1189702,637236,552466,72180,53979,80060,58191,75337,78476,81352,62371,79767,Bye,79327,90166,80246,81178,65083,69144,82845,,2012
Arizona Cardinals,1001663,489455,512208,60627,76330,66199,60496,62479,Bye,62475,71022,60628,69144,69732,56029,62180,60808,60443,41273,61798,,2011
Atlanta Falcons,1073420,551892,521528,62115,69608,46995,66266,69576,69047,63625,Bye,65218,70359,68164,68115,71545,72680,68856,73084,68167,,2011
Baltimore Ravens,1083902,569792,514110,71434,69143,56289,71247,Bye,71154,62976,71022,64851,66522,71320,71345,63648,71187,67242,71083,63439,,2011
Buffalo Bills,1032609,490443,542166,68755,68191,68174,41142,69803,79243,Bye,51579,70133,85157,57531,79088,56463,62494,60988,45112,68756,,2011
Carolina Panthers,1098587,578342,520245,60627,73167,71704,62135,72679,69047,73245,72095,Bye,72409,63633,63928,56270,72680,71540,70363,73065,,2011
Chicago Bears,1053343,497166,556177,62115,73019,62339,62135,67861,62322,76981,Bye,69144,62396,62344,59244,61973,76487,61542,70574,62867,,2011
Cincinnati Bengals,923005,394009,528996,67321,73281,43363,41142,61799,52068,Bye,66004,69143,63262,71320,48260,63697,41202,56431,41273,63439,,2011
Cleveland Browns,1030992,526874,504118,67321,65035,66651,66240,Bye,57300,66350,69732,71511,64900,63498,48260,63648,60754,60443,71083,68266,,2011
Dallas Cowboys,1258971,684096,574875,78702,69732,91017,78122,Bye,68756,80086,69144,81510,85157,80122,87418,62180,95952,65162,84834,81077,,2011
Denver Broncos,1109610,602618,506992,75671,73281,69143,70529,74895,Bye,63800,74977,58125,72908,74746,64436,62939,76487,76556,45112,76005,,2011
Detroit Lions,1041580,509940,531640,51274,60040,62466,78122,67861,62061,63625,74977,Bye,62396,63633,66263,73042,63988,59069,62469,70294,,2011
Green Bay Packers,1123023,564097,558926,70555,73167,62339,70529,69576,70604,63946,Bye,68908,70519,70498,66263,80634,70524,74093,70574,70294,,2011
Houston Texans,1059702,571969,487733,71444,51032,73002,71585,71420,71154,69143,71412,71511,56037,Bye,62004,71545,41202,71540,64159,71512,,2011
Indianapolis Colts,1050690,518627,532063,71444,65035,66309,63972,65088,52068,73012,69143,65218,64619,Bye,63928,68756,71187,64271,64159,62481,,2011
Jacksonville Jaguars,1049655,498655,551000,61619,78834,71704,62471,61799,62934,62976,71412,Bye,64619,63498,62004,62743,62562,68856,69143,62481,,2011
Kansas City Chiefs,1107206,576659,530547,68755,60040,62236,72931,65088,Bye,57361,72733,72263,72908,68756,72173,61973,79088,74093,70803,76005,,2011
Miami Dolphins,1064381,487089,577292,66860,51032,66651,63002,Bye,78912,63800,79302,72263,57007,57531,87418,57225,67823,60988,68756,65811,,2011
Minnesota Vikings,1047585,502529,545056,66716,62461,62466,72931,62479,62322,63946,72095,Bye,70519,62748,68115,62939,63988,62623,68370,62867,,2011
New England Patriots,1114691,550048,564643,66860,68756,68174,62572,68756,68756,Bye,64424,68756,79088,68756,69144,68756,77825,76556,68756,68756,,2011
New Orleans Saints,1105934,584335,521599,70555,73019,73002,62471,72679,56590,73012,57179,73043,70359,Bye,73068,73042,69143,62623,73084,73065,,2011
New York Giants,1232157,635800,596357,80121,78290,69144,60496,78650,79243,Bye,79302,68756,69732,79743,73068,80634,95952,78861,79088,81077,,2011
New York Jets,1187392,631888,555504,78702,78834,61546,71247,68756,78912,79088,Bye,70133,79088,74746,79088,74121,79088,69144,79088,65811,,2011
Oakland Raiders,1018629,473938,544691,75671,68191,61546,62572,71420,57300,57361,Bye,58125,68109,62748,59244,57225,70524,59069,70803,58721,,2011
Philadelphia Eagles,1129171,553152,576019,56722,69608,69144,69144,69803,80447,Bye,69144,69144,69144,79743,69144,67039,67823,69144,84834,69144,,2011
Pittsburgh Steelers,1049515,504279,545236,71434,63663,66309,71585,63875,62934,62475,64424,64851,63262,Bye,72173,63697,60754,69732,60081,68266,,2011
San Diego Chargers,1064892,523143,541749,66716,68756,62236,63002,74895,Bye,79088,72733,68908,68109,62344,64436,62743,62494,67242,62469,58721,,2011
San Francisco 49ers,1065296,557856,507440,69732,69732,43363,69144,69732,62061,Bye,69732,78032,69732,69732,71345,69732,60808,69732,66697,55990,,2011
Seattle Seahawks,1070956,531311,539645,69732,63663,66199,66266,78650,Bye,66350,66004,81510,66522,56400,66007,67039,66577,61542,66697,61798,,2011
St. Louis Rams,1002051,451153,550898,56722,78290,56289,56113,Bye,70604,80086,57179,60628,64900,56400,56029,69732,66577,56431,60081,55990,,2011
Tampa Bay Buccaneers,1019250,473281,545969,51274,62461,46995,63972,69732,56590,76981,Bye,73043,56037,70498,69143,56270,62562,65162,70363,68167,,2011
Tennessee Titans,1077697,553144,524553,61619,69143,69143,66240,63875,Bye,69143,69143,69143,72409,68164,69143,56463,69143,64271,69143,71512,,2011
Washington Redskins,1158341,615368,542973,80121,76330,91017,56113,Bye,80447,73245,51579,78032,57007,80122,66007,74121,77825,78861,68370,69144,,2011
Arizona Cardinals,1022730,502197,520533,52440,66824,62439,62189,62621,Bye,67132,61857,64120,61904,66247,62308,61874,62223,71849,66971,69732,,2010
Atlanta Falcons,1056190,542800,513390,63609,66824,70051,66874,65290,69144,67665,Bye,67266,68474,53005,68204,53955,71235,67101,70144,67349,,2010
Baltimore Ravens,1123436,569817,553619,78127,64071,71119,64729,71246,68756,71220,Bye,71305,68474,73021,70989,71418,71413,71432,65028,71088,,2010
Buffalo Bills,1034650,493112,541538,69295,70741,68756,69262,58304,Bye,71220,66625,50746,56721,55654,69642,64012,50861,65511,68281,79019,,2010
Carolina Panthers,1084908,580965,503943,77245,72577,72887,70016,73464,Bye,72741,52281,73191,44264,73021,64463,66577,71235,71849,61748,67349,,2010
Chicago Bears,1022863,497561,525302,62080,85168,62179,77716,73464,62137,62155,Bye,50746,62206,68752,62147,58119,62347,40504,62310,70833,,2010
Cincinnati Bengals,1033852,482917,550935,68756,64071,72887,66731,63888,Bye,67665,63179,65626,67404,55654,78903,59963,57501,56342,54194,71088,,2010
Cleveland Browns,1017907,528933,488974,47211,65377,71119,66731,65290,65168,70077,Bye,66292,67449,62254,64463,65942,50861,56342,65028,68303,,2010
Dallas Cowboys,1277973,696377,581596,90670,85168,71456,Bye,90616,64120,91375,81395,70913,80851,81261,93985,67471,85673,86904,66971,69144,,2010
